"Host.ID","Host.Name","Host.Since","Host.Location","Host.About","Host.Response.Time","Host.Response.Rate","Host.Listings.Count","Host.Verifications","Host Has Profile Pic","Host Identity Verified","Host Is Superhost"
42359977,"Mast Qalanadar Sl",2015-08-24,"Madrid, Community of Madrid, Spain","Hola!

Mi nombre es Rizwan, aunque todos me llaman Shah. ;)
Llevo 10 años viviendo en Madrid y os recomiendo venir a conocer esta increíble ciudad y disfrutar de todo el encanto que ofrece.
Estaré encantado de ayudaros en todo lo que necesitéis para que vuestra estancia sea lo más agradable y enriquecedora posible.
Además desde octubre de 2016 dispongo de un increíble restaurante indio en el Barrio de Salamanca de Madrid. A todos mis huéspedes, les haré un 20% de descuento en cuenta allí. 
Os invito a disfrutar de esta maravillosa ciudad y degustar la mejor cocina india tradicional.
MIRCHI INDIAN CUISINE, en C/ Alcántara, 35","within an hour",100,4,"email,phone,reviews",TRUE,FALSE,FALSE
5239042,"Carlos",2013-02-26,"Madrid, Community of Madrid, Spain","Carlos is a young entrepeneur who decided to dedicate his time to something that he loves. This being receiving guests in his lovely and modern apartments in the city that he loves and worship: Madrid. 

Carlos was born in La Mancha, Spain and has been living since being a teenager in the city of Madrid. 

Ha has worked in other areas before starting his own business. Carlos has had experience as a construction manager heading big work groups what gives him a good understanding of human relations.

In addition his passion for people has led him recently to start a new project in front of a new radio, (URL HIDDEN)

Here he is renting the most charming full equiped apartments in Madrid downtown (super central) from 3 consecutive days. Available for longer stays, please ask for rates.

-----------------------------------------------------------------------------------

Carlos es un joven emprendedor que decidió dedicarse a algo que le apasiona. Siendo esto recibir huéspedes en sus adorables apartamentos ubicados en el centro de la maravillosa ciudad de Madrid.

Carlos nació en La Mancha, España y desde adolescente ha estado viviendo en Madrid.

Ha trabajado en diferentes áreas antes de dedicarse a su propio negocio. Carlos ha sido jefe de obra, teniendo a su cargo grandes equipos humanos, lo que le permite tener un gran entendimiento de lo que son las relaciones humanas.

Además su pasión por la gente le ha llevado hace poco ha comenzar un nuevo proyecto al frente de una radio de nueva creación, (URL HIDDEN)  

Aquí está alquilando los apartamentos más encantadores y totalmente equipados en el centro de Madrid (super céntricos) a partir de 3 días consecutivos. Disponible para estancias más largas, por favor consulta las tarifas.","within an hour",100,20,"email,phone,reviews,jumio,work_email",TRUE,TRUE,FALSE
34054380,"María",2015-05-23,"ES","",NA,NA,3,"email,phone,reviews",TRUE,FALSE,FALSE
10654623,"Javier",2013-12-16,"Madrid, Community of Madrid, Spain","Hola soy Javier, vivo en un piso tranquilo y cómodo en el centro de Madrid.
También te puedo ofrecer un bonito apartamento entero a muy buen precio. 
Me encanta la ciudad , porque puedes llegar a todos lados caminando, ver los diferentes estilos de esta Ciudad tan antigua, convivir con un mónton de culturas, los pisos están situados entre los míticos barrios de Lavapés y La Latina en pleno Rastro. Espero que os guste.
::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
Hello I'm Javier, I live in a quiet and comfortable in the center of Madrid floor.
I can also provide a nice whole apartment at a great price.
I love the city, because you can get everywhere on foot, see the different styles of this ancient city, living with a lot of cultures, the floors are located between the mythical neighborhood of La Latina Lavapés and in the Rastro. Hope you like it.","within an hour",100,3,"email,phone,reviews,jumio",TRUE,TRUE,FALSE
105994855,"Sonia",2016-12-03,"Madrid, Community of Madrid, Spain","Traductor-Intérprete multilingüe","within an hour",100,1,"email,phone,reviews",TRUE,FALSE,FALSE
98408253,"Javier",2016-10-06,"Granada, Andalusia, Spain","Hi I'm Javier!

I travel a lot - for work and - the best part - also for pleasure. I love meeting new people, tasting new food, experiencing new cultures. I have lived in different countries and continents so traveling is very much part of my DNA as well as my life experience. I have used Airbnb in the past and I am now happy to host fellow travelers.

I live in Marid but I spend most of my time traveling so I have decided to share my beautiful apartment with you.

But don't worry, you will be well taken care of when I am not in town thanks to my friends at Minty Host, who are there to help my guests with anything they need. On my side, I will be more than happy to share with you the Madrid I love - its main landmarks but also its fantastic restaurants, bright squares, and bustling bars.

Enjoy your stay!

*** 
Hola soy  Javier!

Soy una persona curiosa y es lo que me ha llevado a vivir en distintos países, conocer culturas y viajar mucho.

Vivo en en Madrid pero estoy prácticamente todo el tiempo fuera por viajes, así que he decidido compartir este increíble apartamento con todos. Pero no os preocupéis, estaréis muy bien atendidos ya que mis amigos de Minty Host me ayudan a cuidar a mis huéspedes cuando no estoy en la ciudad.

Me encanta viajar y todo tipo de viajes, de ocio y descanso, de turismo, de aventura, a grandes ciudades, pequeños pueblos o lugares salvajes, con familia, amigos o incluso solo. Disfruto mucho conociendo gente y aprendiendo de sus culturas.

He utilizado Airbnb para viajar en numerosas ocasiones y ahora me he decidido a ser anfitrión. Me gusta ofrecer un buen servicio, que la gente quede encantada de la experiencia y que disfruten en la vivienda, del barrio y de la ciudad en la que he vivido gran parte de mi vida y de la que estaré encantado de compartir sus mejores secretos.

Os invito a disfrutar de la estancia!","within an hour",100,1,"email,reviews",TRUE,FALSE,FALSE
13097473,"Nelson",2014-03-13,"Madrid, Community of Madrid, Spain","Soy una persona de un gran espíritu aventurero, y diplomático a la vez, amante de la naturaleza, y el estar siempre con la familia.","within a few hours",100,1,"email,phone,reviews,jumio",TRUE,TRUE,FALSE
90497929,"Martha Elena",2016-08-17,"ES","","within an hour",100,8,"email,phone,reviews",TRUE,FALSE,FALSE
85245915,"Manuel",2016-07-22,"Madrid, Community of Madrid, Spain","","within a few hours",76,4,"email,phone,reviews,jumio,government_id",TRUE,TRUE,FALSE
101929624,"Cristina",2016-10-31,"Madrid, Community of Madrid, Spain","Soy una persona activa y emprendedora, me gusta el deporte, viajar y el ski.
Empiezo esta andadura con mucha ilusión y ganas de que podáis disfrutar de este apartamento al que le he dedicado mucho tiempo, esta decorado como si fuese para mi....espero que os guste y veros pronto por aquí.","within a few hours",100,1,"email,phone,reviews,jumio,government_id",TRUE,TRUE,FALSE
46773436,"Faustino",2015-10-17,"Madrid, Community of Madrid, Spain","","within a day",100,2,"email,phone,facebook,reviews,jumio,work_email",TRUE,TRUE,FALSE
3926474,"Ana",2012-10-20,"ES","Tenemos varios apartamentos en el centro de Madrid para que podáis visitar la ciudad cómodamente, estaremos encantados de recibiros y hacer todo los posible para que vuestra estancia en Madrid sea agradable.","within an hour",100,10,"email,phone,reviews",TRUE,FALSE,FALSE
6980058,"Carlos",2013-06-18,"Madrid, Community of Madrid, Spain","Soy madrileño y conozco muy bien mi cuidad. Mientras el tiempo que estes alojado en alguno de mis apartamentos , haré que no te sientas solo en mi ciudad. Cualquier problema , cualquier duda, siempre estaré para ayudarte.
Me gusta Madrid y me gusta la gente.
Cuando viajo me gusta encontrar buena gente.
I'm from Madrid and I know very well my city. As long as you are staying in one of my apartments, you will not feel alone in my city. Any problems, any questions, I will be always with you in order to help you.
I love Madrid and I like people.
When I travel I like to find good people.","within a few hours",100,9,"email,phone,reviews,jumio",TRUE,TRUE,FALSE
15731417,"Nuria",2014-05-19,"Madrid, Community of Madrid, Spain","Una persona educada, respetuosa y sencilla.",NA,NA,1,"email,phone,jumio",TRUE,FALSE,FALSE
9514089,"Fausto",2013-10-19,"ES","Residente en Palma con una vida tranquila. 

I live in Plama, Majorca and enjoy the tranquility of this beautiful  island in the Mediterranean sea.

I am a well traveled and educated host, and enjoy learning and reading when i have the opportunity. I speak Spanish and English and lived in the UK for many years, both on the South Coast and in Liverpool, a wonderfully vibrant and interesting city. I also  lived in Madrid for some time and know the city well and all it's various neighborhoods and places.

I am always happy to answer any questions you might have about the Madrid or Palma or if you are considering a booking,  so please feel free to ask. 

i enjoy hosting on Airbnb and use Airbnb myself when i travel, i like to meet new folk and hope that i make people welcome when they stay. 

I am happy to host people from all backgrounds, creeds and countries. I am Hetro,  LGB and Trans friendly and welcome anyone however they choose to define themselves.  

Let me know the reasons for your trip and i'll try and suggest something that will make it truly special, memorable or exciting, Airbnb is all about using your hosts information and local knowledge to add some extra quality to your holiday or trip and i'm always happy to share mine, or to ask one of my friends if it's not something i know much about

El mundo es un pañuelo/The world is a handkerchief

Ours is, indeed, a small world, but one we can explore and enjoy. 

best wishes

Fausto","within an hour",100,1,"email,phone,reviews,jumio",TRUE,TRUE,FALSE
21949890,"Ángel",2014-09-30,"Madrid, Community of Madrid, Spain","aMe llamo Ángel y soy un chico de 30 años que vive en Madrid desde hace 3. Soy Ingeniero en Telecomunicaciones y trabajo desarrollando software y también soy Músico (percusionista). Nos hemos encontrado esta preciosa casa en el barrio de Lavapiés y queremos probar a compartirla esporádicamente por AirBnB para conocer gente interesante (músicos + 3 puntos) y financiarla un poco.... Valoramos mucho una buena convivencia, que cada uno desarrolle si vida en la casa como prefiera siempre que no moleste al resto. Y nada más... Si estás pensando venir a Madrid creo que esta es la mejor opción para alojarte...:)","a few days or more",40,3,"email,phone,reviews",TRUE,FALSE,FALSE
56643633,"Mundy",2016-01-29,"Madrid, Community of Madrid, Spain","Soy un viajero convencido, amante de Madrid y su forma de vida.
Por mi profesión paso muchos días fuera de casa, y quiero poder ofrecer a la gente todo el confort y la amabilidad que me han ofrecido a mi en mis viajes.
Por cierto mi mayor hobby es jugar a fútbol y trabajo en la industria musical internacional.","within a few hours",100,2,"email,phone,reviews,jumio",TRUE,TRUE,FALSE
41980059,"Florencia",2015-08-20,"ES","","within an hour",100,1,"email,phone,reviews",TRUE,FALSE,FALSE
5500409,"Marta Y Michelle",2013-03-17,"Madrid, Community of Madrid, Spain","Soy de Madrid y me gusta mucho pasear por mi ciudad, ir al cine, al teatro, sobre todo a ver comedias y musicales, tambien me gusta ir a los museos que estan muy cerca del apartamento como el museo del Prado y el Reina Sofia.
Cuando yo viajo , tambien escojo la opción de ir a un apartamento.
.Conozco muy bien la ciudad y estare encantada de ayudarles para que su estancia en esta ciudad sea inolvidable.
 Hasta pronto !!","within a few hours",98,12,"email,phone,facebook,reviews,jumio",TRUE,TRUE,TRUE
82042954,"Andrés",2016-07-06,"Madrid, Community of Madrid, Spain","",NA,NA,1,"email,phone,facebook,reviews",TRUE,FALSE,FALSE
112345259,"Ambar",2017-01-20,"Madrid, Community of Madrid, Spain","","within an hour",100,1,"email,phone,reviews",TRUE,FALSE,FALSE
36348651,"Adriana",2015-06-21,"Madrid, Community of Madrid, Spain","¡Hola! Me llamo Adriana y comparto piso con dos amigas. Somos chicas jóvenes que nos dedicamos a la música. Nos gusta viajar, conocer gente, escuchar música, pasar tiempo en casa y en la calle. Somos tranquilas y responsables. 
Nuestro piso es muy bonito, limpio y acogedor. Además, y eso que está en pleno centro (en Antón Martín, a cinco minutos de Sol), es muy silencioso, ya que da a una calle que no da ningún ruido. El salón es amplio y tiene un balcón con mesita y silla que da a la calle. Una de las habitaciones también tiene balcón. En las otras dos, la ventana da a un patio interior con nada de ruido.

Hemos probado la experiencia de airbnb en París y fue una maravilla.","a few days or more",0,2,"reviews,jumio",TRUE,FALSE,FALSE
21514948,"Raquel",2014-09-19,"Madrid, Community of Madrid, Spain","Me llamo Raquel, y formo parte del equipo de Friendly Rentals Madrid.Jóvenes, dinámicos, con ganas de conocer a mucha gente, ¡dispuestos a hacerte sentir como en casa!

En Friendly Rentals somos personas cercanas, con ganas de trabajar y de que disfrutes de cada segundo de tu estancia en nuestra, VUESTRA casa!","within a few hours",75,164,"email,phone,reviews",TRUE,FALSE,FALSE
68403270,"Veronica",2016-04-22,"Madrid, Community of Madrid, Spain","","within an hour",100,1,"email,phone,facebook,reviews,jumio,government_id",TRUE,TRUE,TRUE
7953481,"Claudia",2013-08-05,"Madrid, Community of Madrid, Spain","Me gusta viajar a sitios adonde alguien me espere. Por eso estoy a disposición de mis huespedes para guiarlos en su visita a Madrid.
I like to travel to places where someone wait for me. So I am available to my guests to guide them on their visit to Madrid.","within an hour",100,2,"email,phone,reviews,jumio",TRUE,TRUE,TRUE
17291129,"Yumara",2014-06-26,"Madrid, Community of Madrid, Spain","","within an hour",100,2,"email,phone,reviews",TRUE,FALSE,FALSE
32572407,"Azucena",2015-05-04,"Madrid, Community of Madrid, Spain","Hola mi nombre es Azucena. Pongo en este proyecto con toda la ilusión y amor del mundo porque se trata de una casa muy especial para mí que quiero hacer de ella tu hogar durante tu estancia en Madrid.
Soy una apasionada de la decoración, la música y los viajes. Por mi trabajo en la música durante muchos años, he tenido la oportunidad de visitar muchísimos países y conocer a gente, por eso sé de las necesidades cuando te encuentras fuera de tu hogar.  Estaré encantada de conoceros y ayudaros en todo lo que necesitéis. Un abrazo !!!


Hello, my name is Azucena.
I love decorating, music and travel. I have been working in music business for many years and I have had the opportunity to visit many countries and meet people, so I know the needs when you are away from home. The most important is to make my guests feeling.  I will be glad to meet you and help you in everything you need. Big hugs !!!","within an hour",100,1,"email,phone,reviews,manual_offline",TRUE,TRUE,TRUE
7823688,"Stay Inn Madrid",2013-07-30,"Madrid, Community of Madrid, Spain","we are twin sisters, renting our apartments in madrid.
We are managing our parent´s apartments from almost 10 years ago!
we trust in the good will and the things well done","within an hour",100,2,"email,phone,reviews,jumio",TRUE,TRUE,FALSE
76933566,"Arzu",2016-06-10,"Madrid, Community of Madrid, Spain","Hi, I love cine, reading, travelling, meeting people from diferent cultures.","within a few hours",100,1,"email,phone,reviews",TRUE,FALSE,FALSE
1425071,"Enrique",2011-11-20,"Madrid, Madrid, Spain","Hola! Soy Enrique, nací y vivo en Madrid, os ofrezco mi apartamento.
También familiares y amigos han confiado sus apartamentos para que se los gestione, todos ellos están situados en el centro de Madrid, verdaderos hogares donde te sentirás como en tu propia casa.
Si necesitas cualquier cosa, por favor pídemela.
¡Bienvenidos!","within an hour",100,7,"email,phone,reviews,manual_offline,jumio,work_email",TRUE,TRUE,FALSE
22791586,"Lola",2014-10-21,"San Martín de la Vega, Comunidad de Madrid, Spain","","within an hour",99,10,"email,phone,reviews",TRUE,FALSE,FALSE
33844767,"Elena Y Pachi",2015-05-20,"Madrid, Community of Madrid, Spain","Somos unos grandes anfitriones y nos encanta recibir gente en casa, somos  una pareja simpatica!!! nos encanta disfrutar de la vida , viajar, pintar , la escultura, pasear.
Nos gusta mucho la música , el cine ,el teatro y comer bien!!!
y nos encantara que disfrutes de nuestra casa que con tanto cariño y buenas vibraciones hemos creado!!","within an hour",100,1,"email,phone,reviews",TRUE,FALSE,TRUE
3528174,"Aposenta",2012-09-10,"Madrid, Madrid, Spain","Ningún mar en calma hizo experto a un marinero.","within an hour",100,8,"email,phone,reviews,jumio,work_email",TRUE,TRUE,FALSE
3061930,"We Are Madrid",2012-07-26,"Madrid, Madrid, Spain","Me encanta el centro de Madrid y los pisos que alquilo son estupendos, preciosos  y supercomodos!",NA,NA,9,"email,phone,reviews,jumio",TRUE,TRUE,FALSE
66165067,"Marta",2016-04-07,"Madrid, Community of Madrid, Spain","Soy una persona extrovertida,me encanta viajar,y siempre que puedo lo hago.
Apasionada de la cocina,música y del cine.
Es importante para mi que la gente que viene a mi casa,se sienta como en la suya.","within a few hours",100,1,"email,phone,facebook,reviews,jumio,government_id",TRUE,TRUE,TRUE
30750005,"David",2015-04-07,"Madrid, Community of Madrid, Spain","","within a day",50,38,"email,phone,reviews",TRUE,FALSE,FALSE
3031296,"Alex",2012-07-23,"Madrid, Madrid, Spain","Somos Alex y Diana una pareja de Madrid, joven y viajera.","within a day",82,1,"email,phone,facebook,reviews,jumio,government_id,work_email",TRUE,TRUE,FALSE
3233170,"Ernesto",2012-08-12,"Madrid, Madrid, Spain","I'm from Madrid and I love the alternative, cultural and night life which this city offers. Although almost everybody knows where Madrid is located, I think it is a city which continues surprising its visitors.","within an hour",100,13,"email,phone,reviews",TRUE,FALSE,FALSE
22570788,"Recaredo",2014-10-15,"Madrid, Community of Madrid, Spain","","within an hour",80,1,"email,phone,facebook,reviews,jumio",TRUE,TRUE,FALSE
64887162,"Alain",2016-03-29,"Madrid, Community of Madrid, Spain","Excelente viajero. Por tal, se lo que vosotros podreis necesitar en sus viajes al alojarse en mis habitaciones privadas con entradas independientes.","within an hour",100,9,"email,phone,reviews",TRUE,FALSE,FALSE
12406141,"Rose",2014-02-20,"Madrid, Community of Madrid, Spain","We are a friendly, relaxed couple who appreciates the joys of traveling. We love meeting fellow travelers and making a comfortable atmosphere for others on their journeys.","within a few hours",100,1,"email,phone,google,jumio,government_id",TRUE,TRUE,FALSE
72326249,"Lael",2016-05-16,"Granada, Andalusia, Spain","","within a few hours",100,1,"email,phone,facebook,reviews",TRUE,FALSE,FALSE
20760546,"Juan",2014-08-31,"Madrid, Community of Madrid, Spain","Soy redactor de profesión. Amante de la naturaleza y aficionado al surf, kitesurf y mountain bike.

I am a copywriter by profession. Outdoorsman and amateur surfing, kitesurfing and mountain biking.","within an hour",100,1,"email,phone,google,reviews,jumio,government_id",TRUE,TRUE,FALSE
33992377,"Carlos",2015-05-22,"Madrid, Community of Madrid, Spain","Trabajo en producción de grandes eventos, soy padre, me gusta la música, acoger a mis amigos y compartir. Me gusta tener mi casa limpia y ordenada.","within an hour",100,1,"email,phone,reviews,jumio,government_id,work_email",TRUE,TRUE,TRUE
24085430,"Lorenzo",2014-11-23,"Madrid, Community of Madrid, Spain","Madrid, me gusta pasear, ir en bici, beber/comer con amigos, ir a conciertos, teatro, conocer gente nueva","within a day",86,11,"email,phone,reviews,jumio,work_email",TRUE,TRUE,FALSE
77314309,"Zigor",2016-06-12,"Madrid, Community of Madrid, Spain","",NA,NA,1,"email,phone,reviews",TRUE,FALSE,FALSE
1814266,"Nicolo",2012-02-26,"Madrid, Community of Madrid, Spain","carpe diem",NA,NA,1,"email,phone,facebook,reviews",TRUE,FALSE,FALSE
21792828,"Juli",2014-09-26,"Madrid, Community of Madrid, Spain","Persona simpatica, activa. Chef de cocina, me gusta comer y recibir... Me encanta hacerme de guia por el centro de Madrid.","within a day",100,3,"email,phone,reviews",TRUE,FALSE,FALSE
55108559,"Patricia",2016-01-18,"Madrid, Community of Madrid, Spain","I'm Patricia. I've lived in Madrid most of my life and I love my city :-)  Last year I was sharing my owm home with Airbnb and was fantastic !!  100% good experiences and nice people from many differents countries. And now... my brother moved to NY and I rent his home. I live very close to his appartment, so if you need anything in 5 minutes I'll be there !!!!","within a few hours",100,1,"email,phone,reviews",TRUE,FALSE,FALSE
1331093,"Hector Miguel",2011-10-24,"Madrid, SP, Spain","Hi I'm Hector, born in Madrid, single. My profession advertising creative art director. I love traveling, art, music, cooking, hanging out with friends, cinema ... but mostly I love meeting new people from other cultures. It will be a pleasure brindes me this opportunity.","within a day",100,1,"email,facebook,reviews",TRUE,FALSE,FALSE
4817785,"Mucho",2013-01-23,"Madrid, Community of Madrid, Spain","","within an hour",100,2,"email,phone,facebook,reviews",TRUE,FALSE,FALSE
79210160,"Beatriz",2016-06-22,"Madrid, Community of Madrid, Spain","Como usuarios de muchos tipos de alojamientos, sabemos qué es lo que alguien como nosotros busca en un viaje, por ello intentamos dejaros la casa lo más confortable posible, para que la vuelta de vuestros largos y divertidos días en Madrid, sea agradable y tranquila.","within an hour",100,1,"email,phone,reviews",TRUE,FALSE,TRUE
26072216,"Nines",2015-01-13,"Madrid, Community of Madrid, Spain","","within a few hours",87,2,"email,phone,reviews,jumio",TRUE,TRUE,FALSE
65028524,"Bárbara",2016-03-30,"Madrid, Community of Madrid, Spain","","within an hour",100,2,"email,phone,reviews,jumio,offline_government_id,government_id",TRUE,TRUE,FALSE
79224227,"Hernan",2016-06-22,"Madrid, Community of Madrid, Spain","","within an hour",100,1,"email,phone",TRUE,FALSE,FALSE
3566146,"Spain Select",2012-09-14,"Madrid, Madrid, Spain","Spain Select was born from the recognition of a desire among travelers to live locally in a real home whilst away from their own, and yet still enjoy all of the benefits and small luxuries of a hotel stay. Not only that, though, we understood that they also wanted to be close to all of the best that their destination has to offer – to be right in the heart of it all. So we decided to source a broad range of high quality homes in the most sought after locations across the country, starting with the capital Madrid and moving over to Malaga, Valencia, and Seville. We then added a few unique flourishes that embody our brand of service and our values. Our interior design team works to extract and enhance the natural charm from each space and make it a warm home. Our very own in-house Local Ambassadors are posted in each destination to welcome each guest home and bed them in to the neighborhood when they first arrive. Finally, a selection of hotel-like services – including a 24-hour concierge for everything from show tickets to new sheets – and a motorized maintenance team completes our comprehensive customer care throughout every single stay. Every Spain Select experience is unique, yet they are all of a consistent high quality no matter when you stay with us. 

Live local, sleep royal: welcome to Spain Select.","within an hour",100,142,"email,phone,reviews,jumio,offline_government_id,government_id",TRUE,TRUE,FALSE
37157717,"Marta",2015-06-30,"Madrid, Community of Madrid, Spain","","within a day",50,1,"email,phone,reviews",TRUE,FALSE,FALSE
39354586,"Ines",2015-07-23,"Cluj-Napoca, Cluj County, Romania","",NA,NA,2,"email,phone",TRUE,FALSE,FALSE
81148178,"José Manuel",2016-07-01,"Alcobendas, Community of Madrid, Spain","¡Nos estrenamos como anfritriones! Acabamos de comprar y reformar integralmente el apartamento ILAIA, que estrenarán los primeros huéspedes de Airbnb. Le hemos puesto tanta dedicación, cariño y esmero en su decoración que nuestros amigos no se creen que vayamos a alquilarlo, pero es un proyecto que llevábamos elaborando años, a lo largo de nuestros viajes, hasta que hemos encontrado el lugar perfecto.
Sólo esperamos que lo disfrutéis como nosotros y lo cuidéis como si fuera vuestro.","within an hour",100,1,"email,phone,jumio,government_id",TRUE,FALSE,FALSE
40573082,"Sonia",2015-08-05,"Galapagar, Comunidad de Madrid, Spain","","within a day",100,1,"email,phone,reviews",TRUE,FALSE,FALSE
42006672,"R Gestión",2015-08-20,"Madrid, Community of Madrid, Spain","¡Nuestro objetivo es que te sientas mejor que en casa!","within an hour",100,35,"email,phone,reviews,jumio,government_id",TRUE,TRUE,FALSE
1384218,"Kateleine",2011-11-08,"Madrid, Madrid, Spain","Kateleine, Dutch girl living in Madrid, Spain. I work in all kind of cultural projects: theatre, exhibitions, music, biking around the city with tourists as a guide. I love traveling and even more if I can stay at people´s homes. That's why I also offer my place for others (when I´m on tour). This is the best way to get to know Madrid!! 
I live with my two kids and a wonderful Italian man.","within a day",100,1,"email,phone,facebook,reviews",TRUE,FALSE,FALSE
117122425,"Magdalena",2017-02-19,"Madrid, Community of Madrid, Spain","Persona seria y responsable.","within an hour",100,1,"email,phone,facebook,reviews,jumio,offline_government_id,government_id",TRUE,TRUE,FALSE
54310958,"Javier",2016-01-12,"Madrid, Community of Madrid, Spain","Be Mate offers the exclusive City Mate service, a local concierge that will welcome you to the apartment and will assist you before, during and after your stay with everything you may need. From the variety of services you can choose from to live the perfect stay -tranfers, restaurant reservations, tickets for you favourite shows...-, your City Mate will be there for you, even filling up the fridge! You will love our professional and personal attention from the very beginning. You will have to worry only about enjoying your trip and to live the full Be Mate experience!

Be Mate, te recibe en sus apartamentos con un conserje local o ""City Mate"", que te dará la bienvenida y te guiará durante toda tu estancia para ayudarte en todo lo que puedas necesitar. Te ofrece una amplia variedad de servicios para una estancia perfecta, los traslados al aeropuerto o a cualquier otro punto de la ciudad, la reserva de un restaurante, sacará las entradas para tu espectáculo favorito o incluso llenará tu nevera vacía antes de llegar al apartamento. Desde el momento de tu llegada, te encantará nuestra atención personal y profesional. No tendrás que preocuparte de nada más que de disfrutar de tu viaje y de vivir por completo la ""Experiencia Be Mate"".","within an hour",99,207,"email,phone,reviews,jumio",TRUE,TRUE,FALSE
53295015,"Roberto",2016-01-04,"Madrid, Community of Madrid, Spain","","within an hour",100,3,"email,phone,facebook,reviews",TRUE,FALSE,FALSE
